PRVS;NEW_PRVS;;
1;0;;
11;1;;
1101;8;;
110101;33;;
110102;34;;
110103;35;;
110104;36;;
1103;9;;
110301;37;;
110302;38;;
110303;39;;
1104;10;;
110401;40;;
1105;12;;
110501;52;;
1106;32;;
110601;53;;
1107;13;;
110701;54;;
110702;55;;
110703;56;;
110704;57;;
1109;14;;
110901;61;;
110902;62;;
110903;58;;
110904;59;;
110905;63;;
110906;64;;
1110;16;;
111001;65;;
111002;66;;
111003;67;;
111004;69;;
111005;70;;
111006;71;;
111007;72;;
1111;19;;
111101;75;;
1112;20;;
1113;21;;
1115;23;;
111501;98;;
111502;99;;
111503;100;;
111504;97;;
1118;24;;
111801;102;;
111802;103;;
1119;25;;
111901;104;;
111902;105;;
111903;107;;
111904;108;;
111905;109;;
1120;18;;
1121;26;;
1122;27;;
112201;114;;
112202;115;;
112203;116;;
112204;117;;
112205;118;;
112206;119;;
112207;123;;
112208;125;;
112209;126;;
112210;128;;
112211;129;;
112212;131;;
112213;110;;
112214;112;;
112215;113;;
112216;120;;
112217;122;;
112218;124;;
112219;127;;
112220;130;;
112221;132;;
1123;28;;
112301;136;;
112302;133;;
112303;134;;
112304;285;;
1124;286;;
1125;29;;
112501;138;;
1126;30;;
112601;139;;
112602;140;;
112603;145;;
112604;141;;
112605;142;;
112606;143;;
112608;147;;
112609;148;;
112610;144;;
112611;146;;
1127;31;;
112701;150;;
112702;149;;
1128;17;;
112801;73;;
112802;74;;
1134;22;;
113401;82;;
113402;83;;
113403;81;;
113404;86;;
113405;77;;
113406;78;;
113407;79;;
113408;80;;
113409;84;;
113410;85;;
113411;88;;
113412;89;;
113413;90;;
113414;91;;
113415;92;;
113416;93;;
113417;94;;
113418;95;;
113419;96;;
1135;11;;
113501;41;;
113502;42;;
113503;43;;
113504;44;;
113505;45;;
113506;46;;
113507;47;;
113508;48;;
113509;49;;
113510;50;;
113511;51;;
1136;15;;
13;2;;
1301;151;;
130101;155;;
130102;156;;
130103;157;;
130104;158;;
1302;154;;
130201;167;;
130203;169;;
130204;170;;
130205;168;;
1303;152;;
130301;159;;
130302;162;;
130303;160;;
130304;161;;
130305;163;;
130306;164;;
130307;165;;
1306;153;;
14;3;;
1401;171;;
140101;173;;
140102;174;;
140103;176;;
140104;175;;
140105;177;;
140106;178;;
140107;179;;
1402;172;;
140201;180;;
140202;181;;
140203;182;;
140204;183;;
15;4;;
1501;184;;
1502;229;;
1503;185;;
16;5;;
1601;186;;
17;6;;
1701;187;;
170101;188;;
1702;189;;
170201;190;;
170202;191;;
170203;193;;
170204;192;;
1703;194;;
18;7;;
1801;195;;
180101;197;;
180102;198;;
180103;199;;
180104;200;;
1802;196;;
180201;201;;
180202;202;;
180203;203;;
2;204;;
2001;205;;
2002;206;;
2003;207;;
2004;208;;
2005;209;;
2006;210;;
2007;211;;
2008;212;;
2009;213;;
2010;214;;
2011;215;;
2012;216;;
2013;217;;
2014;218;;
2015;219;;
2016;221;;
2017;222;;
2018;223;;
2019;224;;
2020;225;;
2021;226;;
2022;227;;
2023;228;;
2024;230;;
2025;231;;
2026;232;;
2027;233;;
2028;234;;
2029;235;;
3;287;;
31;288;;
3101;289;;
3102;290;;
32;3200;;
3201;3201;;
